nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
艺盈,"
                    回向：愿将此抄经、诵经的功德回向给法界一切众生愿早日离苦得乐，早日成佛！愿疫情早日结束，病者早日康复。回向给吾父愿业障消除往生净土，或投生人道、善道！回向给吾母和我、豆豆和乐乐都身体健康、出入平安。🙏🙏🙏 ​​​                ","
01月26日22:59
",iPhone客户端,0,0,0,1
晴兮46717,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
2020考研走起,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
二姐Shirley,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
yes美淇,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
香雪兰09,"
                    鼠年的春节让全国人民大跌眼镜，大家都像老鼠一样躲窝里不敢出来。反复思量最终取消了初二回娘家，毕竟上有老下有小，必须保证百分之百的安全。在家里陪陪宝贝，和老公一起研究下美食，虽然琐碎但也安逸。抛开了平时的奔波忙碌，这样的假期才是属于自己的。愿疫情早日平复，天下太平才是幸福！武汉，我 ​  展开全文c ","
01月26日23:00
",荣耀V10 我AI的快,0,0,0,0
imao喵小柒,"
                    每天都有戴//@李易峰:#防控疫情我们在一起#听话 戴口罩                ",01月22日17:20,微博 weibo.com,0,501699,8637,178439
KutasthaChaitanya,"
                    笑抽                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
陳nine,"
#与思源一起驰援湖北疫情#予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@王一博公益站 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情 ​                ","
01月26日22:59
",微公益,0,0,0,0
侥幸就该死,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
CharmingJ_2228,"
                    //@烊家军:万众一心，众志成城，共抗疫情，武汉加油，中国加油！#跟着易烊千玺益起来# @TFBOYS-易烊千玺 ",01月26日21:52,"
                        01月26日 22:59
                        ",0,72885,8352,186708
manipula周穆王,"
                    z//@manipula周穆王://@想念你的陌生人lyf://@萌喵爱卷花呀:好的，出行记得戴口罩@李易峰 李易峰//@李易峰:#防控疫情我们在一起#听话 戴口罩                ",01月22日17:20,微博 weibo.com,0,501699,8637,178439
宋凉栖ivan,"
#最新疫情地图#武汉加油  中国加油！ 2龙岩·长汀县 ​                ","
01月26日23:00
",够快才畅快vivo X6,0,0,0,0
盼好运的郑能量,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
杨小怂最爱的蜜蜂,"
#与思源一起驰援湖北疫情#我在“一份爱心一份力量，共抗疫情”项目捐款成功！希望我小小的力量和@杨幂官方粉丝团 一起，在大大的世界里温暖更多人。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情 ​                ","
01月26日22:59
",微公益,0,0,0,0
飒雪33,"
 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
欧阳保温杯,"
                    转发微博                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
林云雅客,"
                    追踪溯源，这个很详细真实【新型冠状病毒溯源取得阶段性进展 #华南海鲜市场存在大量新冠病毒#】记者今天从中国疾控中心了解到，自新型冠状病毒疫情发生以来，该中心病毒病所持续攻坚，在病毒溯源研究中取得阶段性进展。该所首次从华南海鲜市场的585份环境样本中，检测到33份样品含有新型冠状病毒核酸， ​  展开全文c ","
01月26日23:00
",HUAWEI Mate 20,0,0,1,1
大米粒Nina,"
                    俺们东北人从来都不吃野生且受保护的动物，因为大的我们是它嘴里的野味，小的是都是东北的大仙儿得供着。如果这次疫情放过了人类，今后也请人类放过野生动物！因果有循环🙏🙏🙏 ​                ","
01月26日23:00
",HUAWEI Mate 30 Pro,0,0,0,0
holiday珊珊,"
@power的蓝天白云 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
holiday珊珊,"
@power的蓝天白云 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
holiday珊珊,"
@power的蓝天白云 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
holiday珊珊,"
@power的蓝天白云 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
海绵宝宝与德库拉,"
                    哈哈哈哈不加字幕我都听不懂 ",01月26日22:24,iPhone客户端,0,16125,5726,127161
kewellV博,"
                    厉害了                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
用户7342308390,"
                    唐良智在全市新型冠状病毒感染的肺炎疫情防控工作领导小组电视电话会议上强调 坚定信心 沉着应对 众志成城 科学有序做好疫情防控各项工作 O唐良智在全市新型冠状病毒感染的肺炎疫情防控工作领导小组电视电话会议上强调 坚定信心 沉着应对 众志成城 科学有序做好疫情防控各项工作 ​                ","
01月26日22:59
",学习强国客户端,0,0,0,0
趙吭哧哧,"
                    哈哈哈哈哈哈哈                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
大楠楠呦_,"
                    我一个河南人有两句没听懂哈哈哈                ",01月26日22:24,iPhone客户端,0,16125,5726,127161
瑶海发布,"
#疫情防控瑶海在行动# 【瑶海区2000余名城管、环卫工取消休假提前返岗】O瑶海区2000余名城管、环卫工取消休假提前返岗 2合肥·蓝鼎滨湖假日 ​                ","
01月26日22:59
",Redmi Note 7 Pro,0,1,1,1
舟行江上mxh,"
                    //@博肖爱心联盟:【华南海鲜市场名义上是海鲜市场，但实际上却是个综合市场，华南海鲜市场西区存在野生动物交易，高度怀疑此次疫情与野生动物交易有关】😢                ",01月26日21:40,微博 weibo.com,0,13241,9955,135784
蓝色妖姬很忧郁,"
                    //@viann-涼://@烊家军:万众一心，众志成城，共抗疫情，武汉加油，中国加油！易烊千玺 @TFBOYS-易烊千玺 ",01月26日21:52,"
                        01月26日 22:59
                        ",0,72885,8352,186708
如是_我闻sky,"
                    庆余年之前那么火爆，我愣是丝毫不为所动，一集也没看。。对我这种人来说平时工作日不适合追剧，一追就想通宵尽快看完，也不喜欢等更新。。。放假这几天一直在刷疫情，越刷越恐慌，越气，越无奈。。今天想想都这么无奈了，不如开始刷剧吧……刷剧保心态平和。。 ​                ","
01月26日22:59
",iPhone 11,0,0,2,1
zoey-33,"
#与思源一起驰援湖北疫情#予人为乐，与己而乐。我在“一份爱心一份力量，共抗疫情”项目捐款成功！让我与@OurHome王力宏歌迷会 一道成为传递爱与快乐的使者。@中华思源工程扶贫基金会 一份爱心一份力量，共抗疫情 ​                ","
01月26日22:59
",微公益,0,0,0,0
和微博一起走过的日子,"
                    //@凤凰网视频:【武汉市长：500多万人离开了武汉】武汉市长周先旺表示，因为春节和疫情的影响，目前有500多万人离开武汉，还有900万人留在城里。                ",01月26日21:55,微博视频,0,246,173,690
