nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
草原上的一朵云2019,"
//@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
重庆大足法院,"
                    一次特殊的“加油”经历：开封市北郊乡四个村民捐两大车泡面和水给疫情前线 武汉。民警问到开了多久，一句两天两夜，让人心疼。致敬这些最美的人！加油，武汉！（cr：河南卫视）#武汉2例危重患者治愈出院##调集20家方舱医院驰援武汉# L电影剪辑手爱德华的微博视频 ​                ","
02月04日23:00
",nova5Pro人像超级夜景,0,3,0,21
wypsycho,"
                    我刚刚关注了肺炎患者求助超话，抗击肺炎疫情，我们在一起，共同关注→http://t.cn/A6PinNPb ​                ","
02月04日23:00
",超话,0,0,0,0
R呆要做混世大魔王,"
                    武汉加油，中国加油，没有一个冬天不可逾越，期待春暖花开时，我们共赏樱花🌸                ",02月04日14:15,正能量 · 视频社区,0,1592,536,7550
桑叶栀子茶,"
                    //@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
牧克登布Mukdenebu,"
                    等到疫情结束，勇敢去表白吧，去用力拥抱所爱的人，短短一生别留遗憾。 ​                ","
02月04日22:59
",iPhone客户端,0,0,3,12
唯爱痴狂_JustAmeila,"
                    💓💓💓//@尊声静听 :#全明星防疫指导手册# 众志成城，阻击疫情，听防疫指导手册，学防疫知识，一起加油！@霍尊 霍尊 ",02月04日18:50,微博 weibo.com,0,4154,1304,4945
小叶有点A,"
                    心系武汉，共战疫情，万众一心！#武汉加油# ，中国加油！ O头像挂件：武汉加油 ​                ","
02月04日23:00
",微博会员中心,0,0,0,0
橘布地区,"
                    44//@布布偶龙://@银月丨何昶希轮博组:#正能量偶像何昶希# 和@UNINE_何昶Chang希 一起 “勤洗手，多消毒” 抗击疫情，人人有责                ",02月03日21:41,微博 weibo.com,0,7084,1500,4384
一只话不多的云,"
                    103//@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
一只话不多的云,"
                    103//@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
冬天陪你看雪k,"
                    //@蔡徐坤网宣组:蔡徐坤 ｜#全明星防疫指导手册# 感谢@中国交通广播 的分享。和@蔡徐坤 一起关注疫情，为一线医务人员送去祝福。 ",02月04日10:21,"
                        02月04日 22:59
                        ",0,9196,1,6723
快落小火锅,"
                    『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』O网页链接 ​                ","
02月04日22:59
",华为手机 畅享玩不停,0,0,0,0
用户6311521281,"
#抗击肺炎关爱医护# 小善意，大温暖。我在“疫情一线医护•守护者后盾行动”项目捐款成功！愿点滴之举温暖更多心灵。您每捐款1元，新浪同时配捐1元！ @北京感恩公益基金会http://t.cn/A6Pfslok ​                ","
02月04日22:59
",微公益,0,0,0,0
黄河源起长江逶迤,"
                    i//@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
闪电食用指南,"
@阿云嘎Musical //@SHEEPFOLD_阿云嘎资源博:众志成城 抵抗疫情 武汉加油 中国加油💪                ",02月04日22:13,微博视频,0,241716,12640,147522
薅草助长,"
                    这次疫情中阿里真的是达则兼济天下的典型了                ",02月04日16:48,HUAWEI P20 Pro,0,37782,418,29134
