nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
lxk1412,"
                    //@吴亦凡吧-KrisBar:吴亦凡 和电影人@Mr_凡先生 一起为武汉加油！万众一心打赢疫情防控阻击战💪                ",01月29日19:44,微博 weibo.com,0,24022,3728,522376
六沟垅,"
                    也就是说比SARS严重                ",01月29日22:58,微博 weibo.com,0,41,23,91
大胖多多多多多,"
疫情还处于爬坡阶段，我们在家里尽量不出门，除了小兜还有三个大个的，妈呀吵得头漏！最吵的两个终于走了，觉得世界都安静了，小兜各种睡，踏踏实实地睡！ ​                ","
01月29日23:00
",HUAWEI P20 Pro,0,0,0,0
Ida-Oriane,"
                    //@灵超DIDI全国后援会:灵超 #和灵超一起做公益# 抗击疫情，共克时艰，点滴微薄之力，致敬前线抗击肺炎的医护人员们，你们都是我们的天使 ",01月29日22:25,iPhone X,0,1765,319,6519
穿白秋裤的喵大嗷,"
                    🙏🙏🙏                ",01月29日19:32,微博云剪,0,5228,23205,727953
没感觉85,"
#武汉加油# wyb #正能量艺人王一博# 我们一起加油打赢这场战役！@UNIQ-王一博 咱们一起打赢这场防疫战！祝福大家都平安 💚//@UNIQ-王一博:#致敬疫情前线医护人员#你们辛苦了！愿平安！ ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
Dsquid,"
                    晚上艰难用闪光灯打光化妆化完妆难过卸妆咋整类疫情快快过去 快快开学努力化妆 ​                ","
01月29日22:59
",荣耀V10 我AI的快,0,0,0,0
MentalTT,"
                    答应我 ，疫情结束后 谁都不要笑话谁 ，好吗？ ​​​#疫情结束见面谁也别笑谁胖# 2凌源市 ​                ","
01月29日22:59
",华为手机 畅享玩不停,0,0,0,2
-姓氏李Oo,"
                    病毒从1.21被官方正式报导，肆虐至今，官方说不会让2003年重演。具体2003年是怎样的我不清楚，对此没有发言权。       2020年，互联网发展，信息传播速度之快，加上自己是深度冲浪选手，对这病毒有大概的了解。期间，网络上讨论如何让自己家的长辈重视疫情，加强预防这一话题上了热搜，我认为这侧面也 ​  展开全文c ","
01月29日22:59
",微博 weibo.com,0,0,5,0
耶稣耶和华的飞天小女儿耶利亚,"
                    Israel Supports China | 以色列支援中国抗击疫情@QQ浏览器 O网页链接 2珠海·公园道 ​                ","
01月29日22:59
",vivo iQOO生而强悍,0,0,0,0
·琑時間,"
                    加油@X玖少年团肖战DAYTOY ",01月29日16:03,"
                        01月29日 22:59
                        ",0,144701,31685,187842
DreamItPossibleq,"
疫情快快过去吧 ​                ","
01月29日22:59
",iPhone客户端,0,0,2,1
张张张大金,"
                    通过这次疫情算是看明白了心上人永远比不过枕边人💔你品   你细细的品 ​                ","
01月29日22:59
",iPhone客户端,0,0,0,0
Sunny_super,"
#抗击疫情 希望同行# 小善意，大温暖。我在“抗击疫情-希望工程特别行动”项目捐款成功！愿点滴之举温暖更多心灵。@中国青少年发展基金会http://t.cn/A6Pxmou3 ​                ","
01月29日22:59
",iPhone客户端,0,0,0,0
美立世界,"
#驰援湖北 我们在行动# 为爱前行，我一直在路上。我在“驰援湖北 共抗疫情”项目捐款成功！@河北慈善联合基金会http://t.cn/A6Pqjtm4 ​                ","
01月29日22:59
",微公益,0,0,0,0
美立世界,"
#驰援湖北 我们在行动# 为爱前行，我一直在路上。我在“驰援湖北 共抗疫情”项目捐款成功！@河北慈善联合基金会http://t.cn/A6Pqjtm4 ​                ","
01月29日22:59
",微公益,0,0,0,0
亚洲时尚学院,"
                    众志成城，阻击疫情！武汉加油！中国加油！#亚洲偶像学院##众志成城抗疫情# @AMA亚洲少儿影视模特大赛官方 @王浩天 @亚模协 @亚洲时尚学院 @亚洲时尚品牌盛典 @丝绸之路国际时装周 L亚洲时尚学院的微博视频 ​                ","
01月29日22:59
",iPhone客户端,0,0,0,0
昵称已呗使用,"
#顺丰#我的口罩寄到湖北的，都九天了还在杭州，疫情这么严重急死个人……@顺丰集团 你要是寄不了就别接单啊 ​                ","
01月29日22:59
",iPhone客户端,0,0,0,0
害怕安静的小瓶盖,"
                    ～//@柠檬月儿910：慈善家知道洗不白、上不了台了，慈善外衣也没必要再穿了。//@初曉April：吸毒鬼今天在美国做直升机畅游呢，已经放出视频显摆了。国内的疫情似乎一点不影响他炫富的心情。//@看客愤然论公道：口口声声喊着“爱国”，祖国有难回国呀，六辈子花不光的钱，现在武汉有难，周立波何在？                ",01月29日21:34,"
                        01月29日 22:59
                        ",0,14,28,113
中国红十字会总会,"
#新冠肺炎防控 红十字在行动#  武汉市红十字会：捐赠物资陆续送达抗击疫情防控一线O武汉市红十字会：捐赠物资陆续送达抗击疫情防控一线接收的捐赠资金也分两类，定向捐赠将直接划拨给指定的接收单位；非定向捐赠将按照指挥部总体安排，根据疫情防控实际需要统筹使用。 ​                ","
01月29日22:59
",iPhone客户端,0,375,0,2908
