nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
筱笛小队长,"
                    爱情总有磕磕碰碰！那我们怎么去做呢？让塔罗为你指引正确的方向吧！#恋爱# #情侣# ​​​​#疫情1周或10天左右达到高峰##感动瞬间# ​                ","
01月28日23:00
",微博 weibo.com,0,0,0,0
西月锦川,"
#疫情1周或10天左右达到高峰#所有疫情抗击一线的战士辛苦了湖北加油，中国加油 ​                ","
01月28日23:00
",iPhone客户端,0,0,0,10
淡如风ing,"
#抗击疫情联合行动#涓滴之水成海洋， 我在“抗击疫情 我们在行动”项目捐款成功！携手@Mr_LX80后姐姐团，凝聚颗颗爱心点燃更多希望。@中华慈善总会 抗击疫情 我们在行动 ​                ","
01月28日22:59
",微公益,0,0,0,0
含笑半步跌打糕,"
                    哈哈哈哈哈哈//@九三JD:疫情结束后沙雕科可能迎来患者高峰期//@野比大雄:哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@咸鱼不需要情缘:?//@我宇太阳肩并肩:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@霸道总裁老干妈:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈                ",01月28日14:18,"
                        01月28日 23:00
                        ",0,5263,1135,5761
室内消毒,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
楼中路喜儿,"
                    答应我 疫情结束后 谁都不要笑话谁 好吗？[捂脸][捂脸][捂脸] 2商丘·夏邑县 ​                ","
01月28日23:00
",iPhone客户端,0,0,0,1
初九兮,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
HCh217,"
                    和农农一起防控疫情一起远离病毒                ",01月28日22:20,微博 weibo.com,0,5371,3730,18018
stekplr,"
 ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
喵晓柒Lynn,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
小白59290,"
                    转发微博                ",01月28日22:49,iPhone客户端,0,123,22,439
kafei98625,"
                    //@谷子姐姐:一起加油！一定能成功战胜疫情！加油！@秦俊杰 [米奇比心]                ",01月27日13:24,绿洲APP,0,61415,31196,70090
秋天乙,"
#你们村为了防控疫情有多拼#已经封小区了 ​                ","
01月28日22:59
",HUAWEI Mate 20 Pro,0,0,0,0
网红正义八卦,"
                    很喜欢朱一龙的笑容加油你最棒了心系武汉，唯愿平安，致敬所有坚守在一线的医护人员，大家保护好自己，坚定信心，同舟共济！一起抗击疫情，我们和武汉同在！#朱一龙用武汉话为家乡加油# 捐助武汉市慈善总会100万元人民币，#朱一龙捐款100万元支援武汉# 作为武汉人的@朱一龙 用家乡话录制视频为 ​  展开全文c ","
01月28日22:59
",网红正义八卦超话,0,4,0,24
体贴的笑CC,"
                    突然发现道路两旁悬挂的中国结还是很有过年的感觉的只怪病毒来地太突然，还没等我们认真观赏就已投入到疫情当中 女儿：妈妈你怎么这么久才来看我？我：因为妈妈和我的同事在跟病毒做斗争呀！女儿：那妈妈你们用刀了吗我：没有用刀，我们用针 ​  展开全文c ","
01月28日22:59
",荣耀Magic2 魔法手机,0,0,3,7
想滚键盘滚出一个ID,"
#万众一心打赢疫情防控阻击战# #李宇春# @李宇春 一起加油。//@李宇春疯狂工作室:李宇春 向所有医护工作者致敬！为所有善良勇敢的人们加油！ ",01月28日21:10,微博 weibo.com,0,10197,2370,18421
汤圆好妈咪,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
莱芜联通,"
                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 ​                ","
01月28日22:59
",魅族 PRO 6 Plus,0,0,0,1
莱芜联通,"
                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 ​                ","
01月28日22:59
",魅族 PRO 6 Plus,0,0,0,1
莱芜联通,"
                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 ​                ","
01月28日22:59
",魅族 PRO 6 Plus,0,0,0,1
莱芜联通,"
                    “生产经营和健康安全双保障”在保证员工健康的前提下山东联通全力保障应急通信需求为政府部门、医疗机构加装紧急电话203部新开通应急5Ｇ手机82部新装宽带电路、响应视频会议100余次向公众发送防疫提醒短信超3500万条疫情当前 责无旁贷山东联通全力以赴抗击疫情！ L莱芜联通的微博视频 ​                ","
01月28日22:59
",魅族 PRO 6 Plus,0,0,0,1
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
圣所的Xiatic,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
徐律氏女友,"
                    19//@来一份的海豚姑娘:1.28群任务 #电视剧我在北京等你##电视剧隐秘而伟大# #号手就位李易峰# @李易峰 lyf//@李易峰全国投票团:总群1月28号群任务//@李易峰全国投票团:听哥哥@李易峰 的话，出门一定要好戴口罩，注意防范[米奇比心][米奇比心]李易峰//@李易峰:#防控疫情我们在一起#听话 戴口罩                ",01月22日17:20,微博 weibo.com,0,501699,8637,178439
安顺热门,"
#镇宁疫情防控进行时# 为全力做好新型冠状病毒感染的肺炎疫情防控工作，有效切断病毒传播途径，镇宁县公安局交警大队全体民警、辅警取消休假，坚守在一线岗位，全面落实联防联控责任，积极开展交通管控，严格盘查外省车辆，坚决对抗新型冠状病毒疫情，平安度过这个新春佳节。  ​                ","
01月28日22:59
",荣耀20 PRO,0,0,0,6
看今天微博,"
#防控新冠肺炎 陕西在行动# 1月28日，从西安市新型冠状病毒感染的肺炎疫情联防联控工作新闻发布会上了解到，#看今天微博# 1月29日起，西安市将在全市设立58个供应点，以低于市场价格投放政府储备菜，保障市场供应，平抑蔬菜价格。 ​                ","
01月28日22:59
",看今天微博Android,0,1,0,3
HH曲终人散i,"
#你们村为了防控疫情有多拼#吓人 ​                ","
01月28日22:59
",Android客户端,0,0,0,0
拾九的tian,"
                    //@迪迪卫控评小管家:迪丽热巴 #迪丽热巴白凤九# 出门记得戴口罩，勤洗手，注意室内通风，团结一心，一起战胜困难记得不用过度恐慌哦！一切都会好起来的！@Dear-迪丽热巴#万众一心打赢疫情防控阻击战# ",01月28日20:20,微博 weibo.com,0,13420,3980,39522
用户7266388601,"
#抗击疫情联合行动#涓滴之水成海洋， 我在“抗击疫情 我们在行动”项目捐款成功！携手@Mr_LX80后姐姐团，凝聚颗颗爱心点燃更多希望。@中华慈善总会 抗击疫情 我们在行动 ​                ","
01月28日22:59
",微公益,0,0,0,0
张至诚-,"
                    转发微博                ",01月28日21:59,微博 weibo.com,0,16024,4266,84314
