nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
坚毅的蜜蜂,"
                    转发微博                ",02月02日18:19,专业版微博,0,293,111,2127
程姑娘Candice,"
                    海外学子每天早晨醒来都会看一眼新闻，打开的瞬间会想象着疫情已经缓解甚至消失，希望在接下来的时间，继续坚持，很快~                ",02月02日12:14,iPhone XS Max,0,771255,132103,1216878
Ss施施sS啊,"
                    爱自己是终身浪漫的开始疫情结束争取给自己换一个比去年大点的钻戒 ​                ","
02月02日23:00
",iPhone客户端,0,0,2,1
邓紫棋的手机密码,"
                    邓紫棋透明🙀//@糯米咸粽子:平凡天使，谢谢你。//@GEM的女人:狮子和解解一起为武汉加油//@Purplegem数据站:邓紫棋 #邓紫棋 平凡天使#  在疫情防控的关键时刻，他们挺身而出，他们冲锋在前。致敬每一位奋战在一线的平凡天使!战胜疫情，感谢有您!                ",02月02日16:23,微博视频,0,536535,96515,557354
陌上初鲟1,"
                    //@肖战全球后援会:抗击疫情，我们#坚信爱会赢#肖战@X玖少年团肖战DAYTOY ",02月02日13:22,360安全浏览器,0,30631,6501,64825
射手薄荷绿666,"
                    转发微博                ",02月02日13:18,明星资讯 · 视频社区,0,2102,665,3936
青春临沂,"
                    病毒来袭，如何保护自己？信息纷杂，怎么辨别真假？不能外出，在家都能干啥……这份《给孩子的战“疫”漫画》，推荐给孩子读！ #众志成城抗疫情#  ​​​ O首发！近百位漫画家创作了一本战“疫”漫画，全书免费读 ​                ","
02月02日22:59
",荣耀V10 我AI的快,0,0,0,0
Cq小永远,"
                    20200202希望疫情尽快控制，可爱的你们平安回来，而我们有更美好的未来 ​                ","
02月02日23:00
",iPhone客户端,0,0,0,0
晴天加油111,"
疫情赶快结束吧～ ​                ","
02月02日23:00
",iPhone客户端,0,0,0,1
哎哟打拳,"
                    44//@哎哟打拳://@努力努力再努力x:#勇战疫情中国要强# 我为中国加油！我和蒙牛一起向奋战中的白衣天使致敬！#抗击新型肺炎企业公益在行动# //@纯甄:万众一心，全力战“疫”！中国加油！用心守护，我们一定赢！                ",01月31日21:58,360安全浏览器,0,928314,12524,212099
