nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
林动love,"
                    //@杨洋全国后援会官博:我们全力配合望疫情早日过去，我们能更好的相见大家都要做好防护措施，愿平安 ",01月23日13:40,iPhone 6 Plus,0,16641,5476,30185
不要当空想家,"
                    要是没有疫情 今年春晚除了主持人 真的挺棒的挺值得讨论和表扬的 ​                ","
01月24日23:00
",iPhone客户端,0,0,4,6
啊啊啊啊砖,"
                    //@追剧料理馆:评论下面有些人是小学没毕业吧？没有合约精神背信弃义，说提档的也是他因为当初预售太差完成不了24亿保底，害的全国影院的人加班，排片推倒重来，人家员工不付出劳动力？现在又搞网播，利用疫情给自己赚名声全国人民欠他电影票，自己是大善人了。还有这是以院线电影立项的一切按照规矩来                ",01月24日22:15,"
                        01月24日 23:00
                        ",0,1491,4114,46291
哇累哇累哇佩恩卡米达,"
                    转发微博                ",01月24日20:10,专业版微博,0,8980,14912,454897
车车来吧,"
                    //@共青团中央:我们和你在一起全力以赴，加油武汉！#抗击疫情 央企行动# ",01月24日11:28,微博 weibo.com,0,5416,3809,80388
WinterRain1230,"
                    最新新型冠状病毒疫情肺炎疫情实时追踪 ​​​ 2武汉 ​                ","
01月24日23:00
",Android,0,0,0,0
这条路我永远跟随,"
                    致敬平安！//@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
大小艾克斯,"
                    越看到这些奔赴第一线的人，越觉得武汉Z-F越该那啥。现在集中力量攻克疫情，没空理他们，但强烈希望形势稳定后上面对他们清算总帐！太可气了！！！                ",01月24日22:52,iPhone X,0,111,83,512
请叫我_小烦人,"
                    希望疫情赶紧过去，大家都平平安安，健健康康！🙏🙏 致敬所有医护工作者们！！🙏🙏                ",01月24日12:10,微博云剪,0,2341867,307025,330867
花落無聲情刻骨,"
                    //@嘉木锄禾日当午:不是歧视，为了你自己，也为了我们大家，疫情来势汹汹，万望顾全大局//@木辛日记:转发微博                ",01月23日23:04,微博 weibo.com,0,63483,29577,1119082
异见分子吗,"
                    尽个人绵薄之力愿武汉一线医护人员平平安安愿患者早日康复,愿疫情早日结束 ​                ","
01月24日23:00
",小米MIX2S 全面屏,0,0,0,0
像风一样_happy,"
                    真的，气哭了，刚我公公非说还要回两个小时车程的农村老家拜年，。。。。我说了好多遍国家不让乱跑，现在疫情很严重最好呆着，但是人家就是不听不听，非说自己有事，我寻思啥事立马得回去我对象也跟着说不严重，短途的，不会怎么样。。。。我气死了！！！还要等到初五以后去拜年！！！！唉！！！                ",01月24日20:43,HUAWEI P20,0,1,5,5
颦儿别闹了,"
                    谁有心情看什么鬼春晚只想多关注武汉，多关注疫情。 ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
脂肪整形医生陈昊东,"
#疫情中的逆行者#支援武汉的医疗队～已经出发加油💪 L脂肪整形医生陈昊东的微博视频 ​                ","
01月24日22:59
",私信咨询iPhone客户端,0,17,74,76
木槿花瓣儿,"
                    转发微博                ",01月24日22:51,NEX 3 5G,0,829,373,10432
玄女涅槃y杨门第九代佳霖,"
                    转发微博                ",01月24日22:59,"
                        01月24日 22:59
                        ",0,17,13,159
bubble飞飞,"
                    今天是大年三十，拜年的信息少了很多，关注疫情，歌颂医务人员的消息满屏，虽然只能做最简单的工作，但也为自己是其中的一员而骄傲！                ",01月24日22:51,微博 HTML5 版,0,1,1,0
苏若依啊,"
                    //@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
1个努力想当富婆的女孩儿,"
                    2020  不平凡的新年💫愿国泰民安，早日战胜疫情 ✊🏻💪🏻#武汉加油# ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
1个努力想当富婆的女孩儿,"
                    2020  不平凡的新年💫愿国泰民安，早日战胜疫情 ✊🏻💪🏻#武汉加油# ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
1个努力想当富婆的女孩儿,"
                    2020  不平凡的新年💫愿国泰民安，早日战胜疫情 ✊🏻💪🏻#武汉加油# ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
1个努力想当富婆的女孩儿,"
                    2020  不平凡的新年💫愿国泰民安，早日战胜疫情 ✊🏻💪🏻#武汉加油# ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
方温柔耶-,"
                    『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』O网页链接 ​                ","
01月24日22:59
",iPhone客户端,0,0,0,0
heesai,"
                    我看70年阅兵的时候，真是没想到有一天我国会在疫情突发的时候连医护人员的基本防卫都无法保障………… ​                ","
01月24日22:59
",iPhone客户端,0,0,2,0
Crystal清是颗糖,"
                    ？？？//@Ngcc_:？//@呜加油呀:我呕了//@chiakiraya:记住了//@stellayone:澳大利亚森林大火，台当局捐赠10万副N95口罩；大陆疫情蔓延，台当局禁止口罩出口一个月这样的贱畜不梧桐等啥呢 ",01月24日17:30,微博 weibo.com,0,30615,9768,245736
Lan懒熊,"
记住这一次，同胞这俩字不属于你们，日后若要梧桐也不会有心理负担//@四夜弦:……//@stellayone:澳大利亚森林大火，台当局捐赠10万副N95口罩；大陆疫情蔓延，台当局禁止口罩出口一个月这样的贱畜不梧桐等啥呢 ",01月24日17:30,微博 weibo.com,0,30615,9768,245736
少博6666666,"
                    确实难忘//@他的猫语:一边春晚，一边疫情，今年或许是终身难忘了                ",01月24日22:53,微博 weibo.com,0,1512,7263,48199
针灸中医师小崔,"
                    //@他回精神病院了:泪转。//@刘春:回复@永远16岁的玩土土:泪转。//@永远16岁的玩土土:是这样的，不是疫情期过年也是这样的，重点不是年夜饭，是我们的防护用具缺少，可以帮忙多宣传这个吗～我们是战士但是我们我们没有枪呀//@刘春:不敢相信，医院食堂政府食堂不能给做顿年夜饭吗？                ",01月24日21:21,iPhone 11,0,22371,3946,91128
金砖基金,"
                    湖北省委书记省长等等饭桶可以下课了//@刘春:回复@永远16岁的玩土土:泪转。//@永远16岁的玩土土:是这样的，不是疫情期过年也是这样的，重点不是年夜饭，是我们的防护用具缺少，可以帮忙多宣传这个吗～我们是战士但是我们我们没有枪呀//@刘春:不敢相信，医院食堂政府食堂不能给做顿年夜饭吗？                ",01月24日21:21,iPhone 11,0,22371,3946,91128
小俊放心里,"
                    //@TFBOYS-王俊凯:#致敬疫情前线医护人员# 向战斗在一线的医护工作者们致敬，大家都要保护好自己，愿平安健康//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
霸道杨傲天的小黄鸡,"
                    马上就是新的一年了，今年只许一个愿望，疫情快点好，武汉人民平平安安，全国人民健健康康 ​                ","
01月24日22:59
",OPPO Find X,0,0,0,2
自甴拍客,"
                    汉中市博物馆闭馆通知  汉中在路上  丨闭馆通知温馨提示尊敬的各位观众朋友：根据目前新型冠状病毒感染的肺炎疫情防控工作需要，为避免人员聚集引发交叉感染，汉中市博物馆研究决定，自2020年1月24日（大年三十）起闭馆，取消所有公众活动。具体开放时间另行通知，请广大观众予以理解、支持和配合 ​  展开全文c ","
01月24日22:59
",荣耀20 PRO,0,0,0,1
EnyoWalking,"
                    面对疫情，部队在行动。第二第三第四军医大学附属医院医疗队出动了。这个时候，部队能调配飞机，车辆，物资，人员，后勤保障进入疫区。一线的医护需要替换休息，后备力量要跟上，共同抗击疫情。 ​                ","
01月24日22:59
",iPhone X,0,1,0,4
上海长安网,"
                    【#拜年的正确方式4句口诀#转发牢记！】针对新型冠状病毒肺炎疫情，截至1月24日16时，已有广东、浙江、湖南、湖北、天津、安徽、北京、上海、重庆等9省市启动重大突发公共卫生事件一级响应。恰逢传统春节，该如何正确拜年呢？这4句要领保平安：“春节少出门、出门戴口罩、会面有距离 、拱手不握 ​  展开全文c ","
01月24日22:59
",vivo X27,0,3,1,3
释慧狮-希热森格,"
                    吉林市佛教协会关于全市佛教活动场所不对外开放的要求通知近期全国出现新型冠状病毒流行趋势，根据疫情严重的现状考虑，吉林市佛教协会决定从O2020年1月25日12时起 ，全市宗教活动场所予以自行封闭，除自行早中晚课诵外不举办任何活动，并谢绝一切游客进入，再行开放时间另行通告。对不执行市佛教协 ​  展开全文c ","
01月24日22:59
",iPhone X,0,0,0,0
登登登201410,"
                    多多关注疫情，武汉加油！中国加油！杨紫粉丝祝大家新年都平安健康！ ",01月24日20:32,杨紫超话,0,268,407,2600
WT4343,"
                    转发微博                ",01月24日22:59,"
                        01月24日 22:59
                        ",0,17,13,159
木子小姐家的,"
#致敬疫情前线医护人员# //@胡歌:#致敬疫情前线医护人员# 致敬所有医护人员！愿大家健康平安❤️                ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
头条校园,"
#校园微盘点#【今日校园大事件】1、解放军来了！第二军医大学150名解放军医护人员除夕夜包机飞武汉；2、教育部要求高校做好开学前疫情防控预案，必要时可调整教学安排；3、湖北全省学校推迟开学时间，党政机关出差取消。戳新鲜事了解↓↓今日校园大事件 ​                ","
01月24日22:59
",微博新鲜事,0,3,0,13
