nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
铁路的卫士,"
                    危急时刻挺身而出！工人李淑芬流血又流泪！父亲壮烈牺牲！！家人受伤害！遭威胁！！为国家利益，为党和人民利益！付出了巨大代价！发微博上万条，为何这样冷漠！？失职贪官（凶手）犯罪集团，…高科技搞连环谋杀案！……北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外 ​  展开全文c ","
01月09日22:57
",iPad mini,0,0,0,0
铁路的卫士,"
                    危急时刻挺身而出！工人李淑芬流血又流泪！父亲壮烈牺牲！！家人受伤害！遭威胁！！为国家利益，为党和人民利益！付出了巨大代价！发微博上万条，为何这样冷漠！？失职贪官（凶手）犯罪集团，…高科技搞连环谋杀案！……北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外 ​  展开全文c ","
01月09日22:56
",iPad mini,0,0,0,0
用户5636848820,"
                    就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。 O网页链接 ​                ","
01月09日22:55
",科普中国,0,0,0,0
獸獸如此透明无害,"
                    春节放假通知：客服放假时间为1月18号放假至2月2号，期间客服人员可能无法及时回复。因疫情原因厂家放假时间为1月14号-2月10号，期间暂停出货。给大家造成不便，还请谅解。 ​                ","
01月09日22:53
",HUAWEI P30,0,0,0,16
铁路的卫士,"
                    危急时刻挺身而出！工人李淑芬流血又流泪！父亲壮烈牺牲！！家人受伤害！遭威胁！！为国家利益，为党和人民利益！付出了巨大代价！发微博上万条，为何这样冷漠！？失职贪官（凶手）犯罪集团，…高科技搞连环谋杀案！……北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外 ​  展开全文c ","
01月09日22:45
",iPad mini,0,0,0,0
铁路的卫士,"
                    危急时刻挺身而出！工人李淑芬流血又流泪！父亲壮烈牺牲！！家人受伤害！遭威胁！！为国家利益，为党和人民利益！付出了巨大代价！发微博上万条，为何这样冷漠！？失职贪官（凶手）犯罪集团，…高科技搞连环谋杀案！……北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外 ​  展开全文c ","
01月09日22:36
",iPad mini,0,0,0,0
Jackey雨晴,"
                    【你好，明天】武汉不明原因的病毒性肺炎疫情病原体初步判定为新型冠状病毒。不同于已发现的人类冠状病毒，对该病毒的深入了解需要进一步科学研究。目前已知的人类冠状病毒共有六种，其中四种较为常见，致病性较低，一般仅引起类似普通感冒的轻微呼吸道症状，而另外两种是我们简称的SARS和MERS。晚安。 ​                ","
01月09日22:35
",iPhone客户端,0,0,0,1
雨中柏拉图,"
                    转发微博                ",01月09日14:10,iPhone客户端,0,2,1,4
用户646386463811309,"
                    快转微博                ",01月09日12:36,微博 weibo.com,0,112,370,1120
铁路的卫士,"
                    危急时刻挺身而出！工人李淑芬流血又流泪！父亲壮烈牺牲！！家人受伤害！遭威胁！！为国家利益，为党和人民利益！付出了巨大代价！发微博上万条，为何这样冷漠！？失职贪官（凶手）犯罪集团，…高科技搞连环谋杀案！……北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外 ​  展开全文c ","
01月09日22:32
",iPad mini,0,0,0,0
何老狮-HKG,"
                    近年來非洲豬瘟已在全球多國肆虐，包括歐洲、非洲、亞洲。當中中國疫情更為嚴重，已蔓延至全國所有省份，需要銷毀超過100萬隻活豬，導致豬肉供應大減、價格大漲，在10月份豬肉價格更上漲高達101.3%。據外電報道，中國購買激增填補非洲豬瘟帶來的需求缺口，推動美國豬肉出口量去年11月升至創紀錄水平。 ​  展开全文c ","
01月09日22:31
",华为手机,0,0,0,2
DENG鄧鄧鄧o6,"
                    由于肺炎疫情非常时期 冬训只能在家完成打卡训练 看着有总老母亲的安慰感 ​                ","
01月09日22:28
",iPhone客户端,0,0,0,5
Rachel5759,"
                    转发微博                ",01月09日12:36,微博 weibo.com,0,112,370,1120
乘风破浪勇闯天涯,"
                    就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。 O网页链接 ​                ","
01月09日22:26
",科普中国,0,0,0,0
奥力给瞪了瞪他萌萌哒的大眼睛说,"
                    只有有疫情的时候才能体现出我们预防医学的价值，才知道对我们好一点。我们单位楼就是03年非典后才建的。                ",01月09日21:30,专业版微博,0,953,230,1500
