nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
时间海7q,"
                    //@X玖少年团肖战DAYTOY:坚信爱会赢！武汉加油！中国加油！                ",02月02日21:00,帅团的Android,0,1651978,16154,131002
雨打芭蕉艳海棠,"
                    万众一心迎挑战 众志成城战疫情 O万众一心迎挑战 众志成城战疫情 ​                ","
02月03日22:59
",学习强国客户端,0,0,0,1
77OrzzZzzz,"
                    想和院长做邻居，安全 ",02月03日22:56,微博 weibo.com,0,812,487,5686
哎哟打拳,"
                    28//@数兴兴的羊://@OhyeahOh:#张艺兴向家乡湖南捐赠物资##张艺兴向武汉捐赠13万只口罩#截至目前张艺兴向前线的工作者捐赠的口罩总数足有21.4万+只潇湘晨报报道称张艺兴目前仍在四处寻找物资 为疫情防控工作贡献自己的一份力量武汉加油 中国加油 ",02月03日21:44,微博视频,0,29478,4558,449175
太子殿下的小狮子_,"
                    转发微博                ",02月03日20:23,明星资讯 · 视频社区,0,3812,3615,18851
吕千惠Irene,"
#爱心守望 众志成城# 同舟共济，同抗疫情，武汉加油，中国加油 ",02月03日20:47,微博 weibo.com,0,45191,2206,87247
不发糖也静待你们出道,"
                    不要忘记追究责任//@冰封·碎片:“始于隐瞒，终于慌乱”希望疫情结束后，我能看到溯源解决的一天。                ",02月03日13:04,"
                        02月03日 22:59
                        ",0,0,0,0
湖南女性,"
                    【“疫情当前，医生妈妈如何大战新年兽？”这对夫妻手绘17副漫画为孩子上了特殊一课！】今年的新年很不一样，2020年注定是让一线医护人员难忘的一年，在新型冠状病毒肺炎这场看不见硝烟的战争中，他们守护在我们身前，冒死冲锋在战疫第一线与病毒作斗争，竭尽全力救治被感染者。在这些感动了上亿人的“ ​  展开全文c ","
02月03日22:59
",HUAWEI Mate30 Pro 5G,0,12,0,16
笨蛋莲莲_,"
                    //@小女孩莲://@OhyeahOh:#张艺兴向家乡湖南捐赠物资##张艺兴向武汉捐赠13万只口罩#截至目前张艺兴向前线的工作者捐赠的口罩总数足有21.4万+只潇湘晨报报道称张艺兴目前仍在四处寻找物资 为疫情防控工作贡献自己的一份力量武汉加油 中国加油 ",02月03日21:44,微博视频,0,29478,4558,449175
新浪新闻,"
#深夜大明白#【给您提个醒：防控期间乘电梯，这6点千万别疏忽】近日，钟南山院士在抗疫防护建议中提到，电梯间是疫情传播的高危地区。于是有网友在电梯按钮旁贴上一包纸巾，隔着纸巾来按电梯按钮。还有人脑洞大开，用打火机按电梯，然后烧一下来“消毒”。防控期间，究竟应该如何搭乘电梯呢？了解一下 ​  展开全文c ","
02月03日23:00
",专业版微博平台,0,278,123,691
新浪财经,"
                    【疫情下美团的危与机】疫情导致大量外出用餐需求转移至线上。然而外卖平台真的好过吗？据中信证券预测，餐饮业寒冬将至少持续1个季度。像西贝这样现金流相对充裕、100家以上门店的餐企仅15万家，其余小商户和夫妻小店生存状况令人堪忧。若关门潮来临，美团将不得不开启新一轮地推。 ​  展开全文c ","
02月03日23:00
",微博 weibo.com,0,67,122,470
软软的酒窝,"
                    //@OhyeahOh:#张艺兴向家乡湖南捐赠物资##张艺兴向武汉捐赠13万只口罩#截至目前张艺兴向前线的工作者捐赠的口罩总数足有21.4万+只潇湘晨报报道称张艺兴目前仍在四处寻找物资 为疫情防控工作贡献自己的一份力量武汉加油 中国加油 ",02月03日21:44,微博视频,0,29478,4558,449175
软软的酒窝,"
                    //@OhyeahOh:#张艺兴向家乡湖南捐赠物资##张艺兴向武汉捐赠13万只口罩#截至目前张艺兴向前线的工作者捐赠的口罩总数足有21.4万+只潇湘晨报报道称张艺兴目前仍在四处寻找物资 为疫情防控工作贡献自己的一份力量武汉加油 中国加油 ",02月03日21:44,微博视频,0,29478,4558,449175
Fish2_Lewis_GodBlessToU,"
                    笑死了                ",02月03日22:56,微博 weibo.com,0,812,487,5686
分手别改爱奇艺密码呀,"
#新冠病毒可存活5天由飞沫等传播#等疫情过了男人们就明白了一件事为什么女人坐月子会得产后抑郁..... ​                ","
02月03日23:00
",款六爷的iPhone客户端,0,3,4,40
AAa男孩V,"
#正能量艺人王一博# wyb#武汉加油# //@Angela-rain117:跟正能量艺人王一博一起为武汉加油！防控疫情我们在一起@UNIQ-王一博 ",02月03日21:44,微博视频,0,29478,4558,449175
娱公不移山,"
                    众志成城，决战到底！中国必胜！ ",02月03日22:44,"
                        02月03日 22:59
                        ",0,639,324,4723
娱公不移山,"
                    众志成城，决战到底！中国必胜！ ",02月03日22:44,"
                        02月03日 22:59
                        ",0,639,324,4723
娱公不移山,"
                    众志成城，决战到底！中国必胜！ ",02月03日22:44,"
                        02月03日 22:59
                        ",0,639,324,4723
娱公不移山,"
                    众志成城，决战到底！中国必胜！ ",02月03日22:44,"
                        02月03日 22:59
                        ",0,639,324,4723
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
是啵崽的mtjj啊,"
                    加油//@奶茶酷啵:防控疫情，我们在一起                ",02月03日20:23,明星资讯 · 视频社区,0,3812,3615,18851
是啵崽的mtjj啊,"
                    加油//@奶茶酷啵:防控疫情，我们在一起                ",02月03日20:23,明星资讯 · 视频社区,0,3812,3615,18851
张家界消防,"
                    转发微博                ",02月03日19:00,铀媒,0,641,91,419
开敏RUC,"
                    我TM选了好时候辞职//@龙十五:乐观估计上半年都要处于失业状态（大概//@非著名半导体网黄瓜:这场疫情影响了每个人//@清狂Aling:影响太大了//@没钱娶不了布鲁西:大企业还能靠家底撑一下，小本买卖真的活不下去了快点结束吧//@烛师傅炸鸡_儿子太多:门面租金都很贵，这么多天不做生意能撑下去真的很难                ",02月02日14:06,只会吃瓜的iPhone客户端,0,9686,2463,15253
海雨芠,"
                    重磅！疫情如何影响经济 O重磅！疫情如何影响经济 ​                ","
02月03日22:59
",学习强国客户端,0,0,0,0
海雨芠,"
                    重磅！疫情如何影响经济 O重磅！疫情如何影响经济 ​                ","
02月03日22:59
",学习强国客户端,0,0,0,0
spring_cld,"
                    //@微博视频:加油武汉！加油一线的医护人员！                ",02月02日18:28,艺术 · 视频社区,0,39,5,23
姨母的小土豆,"
                    //@爱喝红茶的贝://@爱喝红茶的贝:2.3张艺兴 //@张艺兴_霸王龙数据组: 这场战“疫”！我们同在！我们能赢加油武汉，加油中国//@努力努力再努力x:#勇战疫情中国要强# 我为中国加油！我和蒙牛一起向奋战中的白衣天使致敬                ",01月31日21:58,360安全浏览器,0,928315,12524,212099
路吠吠呀,"
保险杠急救中心打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！ ​                ","
02月03日22:59
",保险杠急救中心超话,0,0,0,0
浪漫宇宙的核心苏,"
疫情结束了你想见谁 2连云港 L浪漫宇宙的核心苏的微博视频 ​                ","
02月03日22:59
",iPhone客户端,0,0,0,4
平民玩家祖康琪,"
                    我是一个不孝顺的儿子，不甘心的父亲，不成功的男人，每当夜深的时候总是辗转反侧，难以入睡，每月八九千的工资，支撑不起一家三口的开销，零存款，基本类似于文盲的教育水平根本无法支撑我有创业发展的心，如今国难当头，疫情肆虐，我无法帮助我的祖国，无论是人力物力或者财力，只能无奈的待在家里， ​  展开全文c ","
02月03日22:59
",vivo S5照亮你的美,0,0,0,4
美人与美食一样不能辜负,"
                    //@吴博美合是真的qaq ://@爱穿女装的王啵啵 :河南领导快出来！打脸了！什么鬼？疫情当前还有人跑出来跟私？？@河南日报 @河南日报 @河南交通广播 @河南交通广播 @平安洛阳 ",02月03日18:14,微博 weibo.com,0,4984,11295,204567
John--Doe--,"
                    靠//@银教授:？//@我爱过一个浪催的蓝孩：//@洪天霸:我目瞪口呆//@福隆://@周蔚Wayne:……//@Pfaueninsel://@Elbereth读作爱尔被累死://@白船售票员_://@浮冰与青金石://@本周以藏出场了没:……//@高飞显考:………//@少狗椿: 开始了，传统艺能互害！等疫情结束后这个社区的邻居都不打算再做人了是吗？                ",02月03日10:33,nova5Pro人像超级夜景,0,68665,37731,427282
吃葡萄-不吐核桃皮,"
                    真心敬佩，我国我党的官员出了事情，第一时间不是想怎么遏制疫情，保护人民群众的生命安全，而是封锁消息，千方百计让更多人染病，他们简直是特朗普派来的内奸。他们能有百分之一的责任心也不会把事情搞到这个地步。真是保持了一不要脸，二不怕滚的优良作风 ",02月01日22:40,微博 weibo.com,0,44,19,66
