nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
敖Qy_chocobo,"
                    //@无糖茉莉花茶:鹿晗 守望相助，抗击疫情，和鹿晗一起为武汉加油//@鹿晗实事群:鹿晗和小鹿一起为武汉加油//@M鹿M:希望可以帮到更多的人                ",02月05日15:37,微博 weibo.com,0,14286850,25702,199323
999有多爱便有多痛,"
                    “一方有难，八方支援。02fMMPa07。中国发生新型冠状病毒感染的肺炎疫情以来，海外华侨华人都在为战胜疫情贡献力量！今天从墨尔本国际机场发来的一段视频，在南航回国的飞机上没有乘客，座位上装满了华人捐献的救援物资！他们不忘祖国不忘家，他们心系家乡疫情，在贡献自己的力量。有一种力量就叫“中 ​  展开全文c ","
02月07日22:59
",Android客户端,0,0,0,0
何苦执拗呢,"
                    春节也结束了，头一次没回家和父母过年。希望疫情早点结束，回归正规。生活依然继续着，明天会更好。 2武汉 ​                ","
02月07日22:59
",HUAWEI Mate 9,0,0,1,5
清远日报,"
                    清远发布市委书记、市长防控疫情工作督查令 O清远发布市委书记、市长防控疫情工作督查令 ​                ","
02月07日23:00
",微博 weibo.com,0,1,0,2
computer_haker,"
                    明显2000，2万甚至10万，百万规模的疫情硬生生的让这些什么狗屁主任专家说的那么轻，那么小，已经害了全国人民，你们说话就不能靠点普么，水货专家不要再毒害老百姓了，讲真的被害，老百姓被害。 ​                ","
02月07日23:00
",realme X青春版,0,3,0,0
波士顿光头流浪记12,"
                    kzjzj//@丸圆的甜品Roy珍:🙏//@Roy手心的茉莉雨:#源代码3中队# //@源代码_SourceCode:#特攻队# //@源代码_SourceCode:王源守望相助，抗击疫情！一起传递信息，共筑希望@TFBOYS-王源 //@TFBOYS-王源:希望能给更多有需要的人带去帮助！                ",02月05日15:37,微博 weibo.com,0,14286850,25702,199323
凯的小笨蛋,"
                    //@凯撒蓝护卫队:#武汉不孤单# 王俊凯 万众一心 共克时艰 武汉挺住 愿早日战胜疫情 开始新的生活@TFBOYS-王俊凯 ",02月07日21:23,原创音乐 · 视频社区,0,10669,863,6199
Chloe静静静,"
                    每天都在等疫情快快过去 春暖花开时 ​                ","
02月07日22:59
",iPad mini4,0,0,0,0
今天她shou了没,"
赖冠霖因为疫情，每天要按时量体温，早起太难但是换个铃声，好像世界都美好了 L妖丝米死Li的微博视频 ​                ","
02月07日22:59
",赖冠霖超话,0,0,6,17
万能的晓考拉,"
                    截止2月6日24时#河南省新型冠状病毒最新数据#，#钟南山称疫情拐点还要几天# ​                ","
02月07日22:59
",UC浏览器电脑版,0,0,0,0
SocialmanR,"
                    转发微博                ",02月07日20:57,影视资讯 · 视频社区,0,5092,1160,11468
雪秀瑛修,"
                    bbbbvg//@心雨源梦:守望相助，抗击疫情，中国加油！//@心雨源梦:#源代码1中队# //@源代码_SourceCode:#特攻队# 王源守望相助，抗击疫情！一起传递信息，共筑希望@TFBOYS-王源 //@TFBOYS-王源:希望能给更多有需要的人带去帮助！                ",02月05日15:37,微博 weibo.com,0,14286850,25702,199323
糸守镇的小蟹,"
                    //@凯撒蓝护卫队:#武汉不孤单# 王俊凯 万众一心 共克时艰 武汉挺住 愿早日战胜疫情 开始新的生活@TFBOYS-王俊凯 ",02月07日21:23,原创音乐 · 视频社区,0,10669,863,6199
惠东发布,"
#众志成城·防控疫情# 【惠东老板快看，一老板因疫情违法被抓】O【众志成城·防控疫情】惠东老板快看，一老板因疫情违法被抓  2月5日，澄海警方循线调查，查明广益街道埔美社区一公寓业主陈某国（男，56岁，广益街道埔美人）、管理人员沈某添（男，51岁，福建省诏安县人）拒不执行各级政府和相关部门的通告要求，对发现的公寓内一名发热主要疫 ​  展开全文c ","
02月07日23:00
",Android,0,0,0,0
甜系karry,"
                    //@一抹专属于你的星光:王俊凯 #跟着王俊凯益起来#  守望相助，让我们一起抗击疫情，加油。#流星-TFBOYS-王俊凯#  #心引力# @TFBOYS-王俊凯 ",02月05日15:37,微博 weibo.com,0,14286850,25702,199323
徐阳诉讼律师,"
                    //@孔庆东:待到战胜疫情后，同吃武汉热干面！👏👏 ",02月07日21:46,V+会员,0,26,2,1
PokaYoke,"
                    河南省市场监管局局长马林青:新型冠状病毒感染的肺炎疫情期间，省各级市场监管部门将严打哄抬物价行为。02GGiik07。凡是囤积居奇、哄抬物价、扰乱市场、发“疫情财”的人，要罚的他倾家荡产！#众志成城河南有情# 潘明先生的微博视频 ​                ","
02月07日23:00
",三星Galaxy Note Edge,0,0,0,0
妈妈又饿了,"
                    精辟 //@这个女孩叫柒柠墨:北京上海手拉手 谁先详细谁是狗//@傻格格light:可以公布下行程轨迹吗？还有之前的疫情地点在哪里呢                ",02月07日16:38,微博 weibo.com,0,1899,6822,135283
葩扒妹,"
#全国超20人故意隐瞒致人感染被立案#年轻男子不配合疫情检查，与家人殴打安保：不戴口罩传染给你了啊L年轻男子不配合疫情检查，与家人殴打安保：不戴口罩传染给你了啊 ​                ","
02月07日23:00
",YOUKU精选视频,0,0,1,1
00的野生兔砸,"
                    //@古月中心相心:调查什么？整个疫情为什么蔓延？//@知识分子:转发微博                ",02月07日21:09,微博 weibo.com,0,1882,777,5012
00的野生兔砸,"
                    //@古月中心相心:调查什么？整个疫情为什么蔓延？//@知识分子:转发微博                ",02月07日21:09,微博 weibo.com,0,1882,777,5012
00的野生兔砸,"
                    //@古月中心相心:调查什么？整个疫情为什么蔓延？//@知识分子:转发微博                ",02月07日21:09,微博 weibo.com,0,1882,777,5012
00的野生兔砸,"
                    //@古月中心相心:调查什么？整个疫情为什么蔓延？//@知识分子:转发微博                ",02月07日21:09,微博 weibo.com,0,1882,777,5012
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
筱璿不是小睿,"
                    希望的好消息是:疫情完全得到控制 ",02月07日22:01,微博 weibo.com,0,444,38,214
愚季限定,"
//@Space7官方微博:真的非常感谢您发布的相关信息，让我们及时了解这个情况，恒安集团已经在积极寻找并沟通捐赠渠道，将捐赠一批Space7享睡裤裤型卫生巾产品用于疫情防控。希望Space7的天然安全力能守护更多女性的健康！全民战疫，我们定竭尽所能，携手共度难关！                ",02月07日11:38,iPhone 11 Pro,0,52907,7828,332533
哎呀思云,"
#疫情期间你有哪些烦恼# ​                ","
02月07日22:59
",iPhone客户端,0,0,0,0
订一个月球套餐,"
                    21//@光光星球试营业 :#新型肺炎求助通道开启# //@白敬亭 :守望相助，抗击疫情！#新型肺炎求助通道开启# ，希望能够帮助到更多有需要的朋友 ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
花生绵绵冰去冰,"
                    //@凯撒蓝护卫队:#武汉不孤单# 王俊凯 万众一心 共克时艰 武汉挺住 愿早日战胜疫情 开始新的生活@TFBOYS-王俊凯 ",02月07日21:23,原创音乐 · 视频社区,0,10669,863,6199
小哈眼中的世界,"
                    【物资告急！#信阳急需N95口罩1.3万个#，市中心医院口罩仅剩88个】截至2月5日22.54时，河南信阳累计报告确诊病例138例。全市疫情防控医用防护物资全面告急，尤其紧缺N95口罩、医用连体防护服、全面型呼吸防护器等。02zntkI07。至2月3日，信阳市中心医院N95口罩库存仅为88个。现急需紧急调拨（全市3天消 ​  展开全文c ","
02月07日22:59
",Android客户端,0,0,0,0
淡定梧,"
                    少出门，把口罩多留给战疫一线人员用吧！疫情当前，要问现在最紧缺的是什么东西？恐怕所有人都会异口同声的回答——口罩！是的，口罩已经成为目前市场上最紧缺的防控医疗物资，而紧缺最厉害，02OmbHc07，是那些在一线为我们抗击肺炎疫情的医护人员们！#众志成城河南有情##豫防公式#  ...全文 ​                ","
02月07日22:59
",Android客户端,0,0,0,0
用户7076114098,"
                    //@1999921comeon :武汉加油//@王俊凯的龙喵战队 :王俊凯#跟着王俊凯益起来# 守望相助，让我们一起抗击疫情，加油。#流星-TFBOYS-王俊凯##心引力#@TFBOYS-王俊凯 ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
921-蓝色雨,"
                    //@凯撒蓝护卫队:#武汉不孤单# 王俊凯 万众一心 共克时艰 武汉挺住 愿早日战胜疫情 开始新的生活@TFBOYS-王俊凯 ",02月07日21:23,原创音乐 · 视频社区,0,10669,863,6199
跌落人间的魔鬼_881,"
                    大理“截胡”了重庆和黄石救援口罩。02IPJPh07。对网民的纷纷指责，大理义正言辞、慷慨激昂地说，我把口罩给了“一线”！那么大理所说的“一线”是哪家单位呢？是房地产协会！是房地产协会！是房地产协会！他们出手给出了3万个，真恶心！而根据疫情通报，截至今天上午，重庆确诊389，死亡2例；黄 ...全 ​  展开全文c ","
02月07日22:59
",Android客户端,0,0,0,0
冬天饮雪水zq,"
                    我妹老师最近让他们天天晚上看诗词大会。她问我：“最近中国不是疫情严重嘛，为啥他们百人团坐这么近，还不戴口罩？”我说这节目应该是之前就录好的吧，而且肯定做了相关的安全工作吧。害，还想挺多 ​                ","
02月07日22:59
",iPhone客户端,0,0,4,2
ZW唯爱王源,"
//@源Lai喜欢你:一起//@源Lai喜欢你:#源代码12中队# //@源代码_SourceCode:#突击队# //@源代码_SourceCode:王源守望相助，抗击疫情！一起传递信息，共筑希望@TFBOYS-王源 //@TFBOYS-王源:希望能给更多有需要的人带去帮助！                ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
申亚翡翠谷翟申亚翡_76140,"
                    //@无糖茉莉花茶:鹿晗 守望相助，抗击疫情，和鹿晗一起为武汉加油//@鹿晗实事群:鹿晗和小鹿一起为武汉加油//@M鹿M:希望可以帮到更多的人                ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
麻仲P毕R屠-,"
                    //@隘坤i :五班 蔡胖葵//@Origin_Kun数据站 :蔡徐坤#抗疫行动# 守望相助！希望能够帮助更多需要帮助的人！我们一起抗击疫情！@蔡徐坤 //@蔡徐坤 :希望更多有需要的人得到帮助！武汉加油！                ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
合肥高楼迷,"
#万众一心抗击疫情# 严防死守！ L合肥高楼迷的微博视频 ​                ","
02月07日22:59
",Android,0,2,9,23
四叶草-之约,"
                    //@王俊凯微吧:#跟着王俊凯益起来# 王俊凯感谢分享，众志成城，我们携手前行，天地苍茫，大爱无疆，疫情面前，我们用心凝聚爱与力量，携手共克时艰，让我们和@TFBOYS-王俊凯 一起为武汉加油，为中国加油 ",02月07日21:38,微博 weibo.com,0,6349,1461,9163
我想去的地方忍,"
zzz//@懵哒哒DADA:王俊凯 #跟着王俊凯益起来#守望相助，让我们一起抗击疫情，加油//@TFBOYS-王俊凯:守望相助，让我们一起抗击疫情#心引力# @TFBOYS-王俊凯 ",02月05日15:37,微博 weibo.com,0,14286856,25702,199323
HuiiiiQi,"
                    转发微博                ",02月07日17:53,"
                        02月07日 22:59
                        ",0,2347,1446,2843
時尚化妝師瑞子,"
                    🍀 这次疫情真是给所有宝宝们的一个温馨提示真的要存钱，不能精致穷了真的要买房，随时都能有自己的独自空间真的要做副业，给自己留个好的退路 ​                ","
02月07日22:59
",Android客户端,0,0,0,0
