nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
辣妈有财商,"
                    WHO今晚开会，瑞士19时30分，北京时间凌晨2点30分，重议是否要宣布疫情为国际关注的突发公共卫生事件。停航图片我没查证，请大家帮忙一起证实。感觉中美停航决定已经在路上。 ​                ","
01月30日23:00
",华为畅享10,0,2,6,3
同庆楼周涛,"
                    我和同庆楼华强店团队在今天下午将做好的菜品送到弋矶山医院服务疫情一线医护的人员手中，大爱无疆  共度难关[玫瑰][玫瑰][玫瑰] 2芜湖·同庆楼华强广场店(芜湖) ​                ","
01月30日23:00
",华为手机 畅享玩不停,0,0,0,0
网络重君,"
#疫情仍处于扩散阶段# 某微信群一个生产口罩的小作坊老板跟大家分享他是怎么生产口罩的聊天记录，成本350的口罩卖到8500一箱，简直暴利中的暴利啊，什么无菌生产都是扯淡。你怎么看这事？#全国确诊新型肺炎病例##有患者4次检测才确诊# L网络重君的微博视频 ​                ","
01月30日23:00
",点赞爆富Android,0,32,20,52
木茶Fan,"
#疫情过后你最想见的人#见对象呀 ​                ","
01月30日22:59
",华为手机 畅享玩不停,0,0,1,1
下一个十年一品,"
#抗击肺炎关爱医护##医护后盾# 希望在大大的世界里，付出一点点温暖。我在“疫情一线医护•守护者后盾行动”项目捐款成功！@北京感恩公益基金会http://t.cn/A6Pfslok ​                ","
01月30日23:00
",微公益,0,0,0,1
寒烟初开,"
#抗击肺炎关爱医护##医护后盾# 赠人玫瑰，手有余香。我在“疫情一线医护•守护者后盾行动”项目捐款成功！@北京感恩公益基金会http://t.cn/A6Pfslok ​                ","
01月30日23:00
",微公益,0,0,0,0
文蚊猪ma0-0,"
                    普及下吧，哪怕疫情过去了仍然希望我们国家普及带口罩，有感冒咳嗽带口罩吧                ",01月30日20:48,iPhone 11,0,445,88,733
黑富富,"
疫情还没到不可控制的地步，有些人就不能自控彻底疯了。                ",01月30日13:19,iPhone 7,0,80276,29225,304960
Angla72781,"
                    表示这个需要给个说法啊//@橙小橙橙走天涯:我就是你口中要避开的湖北人常驻杭州且很久没回湖北，也已经出来旅行将近一个月，因为疫情中国国籍在国外已经受到区别对待，作为中国人你也要不明事理的乱喷吗？请闭上你这张无知丑陋的嘴，希望这辈子你别靠近湖北人！！！                ",01月30日17:46,iPhone 8 Plus,0,335,352,1997
咪了喵酱,"
 ",01月30日21:16,"
                        01月30日 22:59
                        ",0,85,20,95
是我怪吗,"
                    嗯喽说的真好听呢                ",01月30日22:56,微博 weibo.com,0,327,1186,3688
脱贫攻坚在路上,"
                    //@范卫锋: //@华杉2009:人只能有一个立场，不能两头都占，什么好处都要捞干吃尽，对内讲政治隐瞒疫情，对外又讲科学博取名誉，那就成了过街老鼠，人人喊打。                ",01月30日21:13,HUAWEI Mate 10 Pro,0,772,298,2120
风不觉GF,"
#WHO将再讨论疫情是否构成国际突发卫生事件#  心里堵的难受,因为一小部分人的口欲,因为一小部分人的违法售卖,因为一小部分人的不作为,因为一小部分人故意或无意跑到外地传播病毒,还有一小部分人大发国难财,还有一小部分人尸位素餐.....我真的好想骂他们,可是没有用.悲哀的是,如果重来一次,可能结果并无 ​  展开全文c ","
01月30日22:59
",微博搜索,0,0,0,0
连炤公子,"
//@WeLens://@免庖丁:我真心希望，网友能记住这些人，他们是最底层的劳动者，除了医护，他们同样也是这时候能真正为疫情出力的人。如果能记住，请从此往后，对底层劳动者多一点尊敬、多一点体谅、多一点感激吧                ",01月30日20:17,iPhone客户端,0,27921,1253,35766
若然一品,"
                    比疫情更让人担心的，是中小企业O比疫情更让人担心的，是中小企业 ​                ","
01月30日22:59
",iPhone客户端,0,0,0,0
胖子吃东西不会胖,"
#疫情防控不得采取封闭高速公路的措施#安徽阜阳市临泉收费站出口入口封闭不让上高速搞的人心惶惶 2阜阳·临泉县 L胖子吃东西不会胖的微博视频 ​                ","
01月30日22:59
",iPhone客户端,0,0,4,1
用户5664155063,"
                    转发微博                ",01月30日16:38,微博 weibo.com,0,4,1,6
努力减肥33,"
                    一年的时间也许改变了很多，既然如此，那就这样吧。各自安好！ 疫情很严重，多注意！ ​                ","
01月30日22:59
",iPhone客户端,0,0,0,0
努力减肥33,"
                    一年的时间也许改变了很多，既然如此，那就这样吧。各自安好！ 疫情很严重，多注意！ ​                ","
01月30日22:59
",iPhone客户端,0,0,0,0
努力减肥33,"
                    一年的时间也许改变了很多，既然如此，那就这样吧。各自安好！ 疫情很严重，多注意！ ​                ","
01月30日22:59
",iPhone客户端,0,0,0,0
努力减肥33,"
                    一年的时间也许改变了很多，既然如此，那就这样吧。各自安好！ 疫情很严重，多注意！ ​                ","
01月30日22:59
",iPhone客户端,0,0,0,0
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
