nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
sdjxbznyj,"
                    //@一两二米://@腐格格://@椰子A姬E子两手抓://@毛十八:讲道理，17年前就是因为国内先港疫情影响不大，演唱会照开球赛照踢病患自由出入，结果广州患者到轰空在酒店引爆传染，又有酒店其他住客去住宅区探亲搞到公寓封楼轰空变疫区最后死了两三百……人家有ptsd的……换任何正常人都要ptsd的。就我们没有                ",01月16日23:05,"
                        01月18日 22:58
                        ",0,0,0,0
能梦见你是我的过人之处_,"
#澳大利亚水火两重天# #又一考拉栖息岛山火失控# 又火又水，注意防疫啊别大灾过后又爆发疫情。希望一切平安 ​                ","
01月18日22:57
",迷惑行为大赏,0,0,0,2
能梦见你是我的过人之处_,"
#澳大利亚水火两重天# #又一考拉栖息岛山火失控# 又火又水，注意防疫啊别大灾过后又爆发疫情。希望一切平安 ​                ","
01月18日22:57
",迷惑行为大赏,0,0,0,2
天地玄啊黄,"
                    中疾控：引起武汉肺炎疫情病原体并非SARS病毒 中疾控：引起武汉肺炎疫情病原体并非SARS病毒 （分享自 @网易财经） O中疾控：引起武汉肺炎疫情病原体并非SARS病毒 ​                ","
01月18日22:56
",网易财经,0,0,0,0
沉默的星空黑黝黝,"
                    突然又爆发了？//@曾鹏宇:真吓人啊…… ",01月18日14:18,微博 weibo.com,0,64,127,346
姜姜羊,"
                    看疫情新闻，并知道看到的是被限制隐瞒的新闻，其实会感觉更害怕。 ​                ","
01月18日22:54
",iPhone客户端,0,0,0,0
CheshireCatEllen,"
                    小心驶得万年船，转需//@Vijean://@毛十八: 讲道理，17年前就是因为国内先港疫情影响不大，演唱会照开球赛照踢病患自由出入，结果广州患者到轰空在酒店引爆传染，又有酒店其他住客去住宅区探亲搞到公寓封楼轰空变疫区最后死了两三百……人家有ptsd的…换任何正常人都要ptsd的                ",01月16日23:05,"
                        01月18日 22:54
                        ",0,0,0,0
魔法貓男孩,"
                    //@祥瑞御免的daisyhanke://@毛十八:讲道理，17年前就是因为国内先港疫情影响不大，演唱会照开球赛照踢病患自由出入，结果广州患者到轰空在酒店引爆传染，又有酒店其他住客去住宅区探亲搞到公寓封楼轰空变疫区最后死了两三百……人家有ptsd的……换任何正常人都要ptsd的。就我们没有，rio坚强。                ",01月16日23:05,"
                        01月18日 22:52
                        ",0,0,0,0
迷糊如初见,"
                    北京非典那年，在媒体还未大规模报道时，班里就有父母是医生的同学说，是疫情，明天就不来上学了，这时大家还在怪他小题大做。后来的事大家就都知道了。疫情过去后，得知他父亲在一线，后来评为先进。几年前，朋友说，非典收到的捐赠物资还在小汤山的库房，早已过期，堆积如山。顺便说下，她也是奥运志 ​  展开全文c ","
01月18日22:50
",iPhone客户端,0,0,1,6
新葫芦装旧酒,"
                    //@少年Q://@大脸暖://@顾不厌://@吃蛋糕员:rio坚强//@毛十八:讲道理，17年前就是因为国内先港疫情影响不大，演唱会照开球赛照踢病患自由出入，结果广州患者到轰空在酒店引爆传染，又有酒店其他住客去住宅区探亲搞到公寓封楼轰空变疫区最后死了两三百……人家有ptsd的……换任何正常人都要ptsd的。就我                ",01月16日23:05,"
                        01月18日 22:47
                        ",0,0,0,0
废墟核锌,"
                    //@力千怪十一:草草草不敢出门了//@DD渚://@安都因河畔://@毛十八 :讲道理，17年前就是因为国内先港疫情影响不大，演唱会照开球赛照踢病患自由出入，结果广州患者到轰空在酒店引爆传染，又有酒店其他住客去住宅区探亲搞到公寓封楼轰空变疫区最后死了两三百……人家有ptsd的……换任何正常人都要p                ",01月16日23:05,"
                        01月18日 22:47
                        ",0,0,0,0
