nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
可口可乐了了74013,"
                    87//@郑繁星的猫猫:武汉加油！中国加油！2020我们一起度过！//@郑繁星后援会官方数据站:每日  都愿疫情早点结束 祝春天和好消息如约而至，武汉加油！中国加油！                ",02月04日15:18,正方形iPhone客户端,0,2216,5237,46378
任永明_56,"
                    转发微博                ",02月06日18:06,微博视频,0,55831,10937,265518
沁墨qinmo,"
                    //@羽墨了个白:疫情结束！！！//@蹲在街角数钱://@脆皮鸭学院://@天下美男都是基:我信                ",02月06日21:26,脆皮鸭学院超话,0,4887,162,793
柯阿柯,"
                    //@real樱花草:#万众一心打赢疫情防控阻击战# #庚我益起来# 防控疫情，我们在一起 ",02月06日22:38,明星资讯 · 视频社区,0,623,518,11228
萌虎姐姐,"
                    //@921家的蓝色大海://@小黑喵萌萌哒://@正在等跳过921:3//@正在等跳过921://@王俊凯的凯喵战队:王俊凯 #跟着王俊凯益起来#  守望相助，让我们一起抗击疫情，加油。#流星-TFBOYS-王俊凯#  #心引力# @TFBOYS-王俊凯 ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
雋雋z,"
                    转发微博                ",02月06日18:06,微博视频,0,55831,10937,265518
一个蜜桃Q,"
                    //@烊家军:守望相助，抗击疫情！//@TFBOYS-易烊千玺:希望更多的人能看到这个信息，可以帮助到有需要的朋友。                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
耶本,"
                    生命真的很脆弱 请及时 珍惜自己 善待他人向八英雄以及为抗击疫情作出贡献的人 致敬 ​                ","
02月06日23:00
",本本在线Android,0,0,0,0
trustyourvoicewithin,"
                    又有谁会记住他呢//@赠风于你:疫情上报第一人记大功，将疫情向外公开而遭训诫的李文亮逝去。历史会记住今天。 ​​​                ",02月06日22:14,OnePlus 6,0,58715,31982,299473
颖呀我滴宝_,"
                    23//@装睡的莹:#赵丽颖正能量# //@赵丽颖:守望相助，希望能帮助到需要帮助的人，大家一起抗击疫情！                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
陕西铁检,"
                    【黑心商贩#卖7万支7年前口罩被抓# 民警抓捕现场上演灵魂三连怼】2月4日，上海市青浦警方将涉嫌销售不符合标准医用器材的嫌疑人时某抓获。经调查，时某通过网络将2013年生产的7万余只无牌口罩出售给他人，获利2万余元。在抓捕现场，时某还试图狡辩，民警上演灵魂三连怼。#聚焦新冠肺炎疫情#@青浦警坛  ​  展开全文c ","
02月06日23:00
",iPhone客户端,0,0,2,1
晗捂鹅鹿可,"
                    ***//@持续失联://@石竹闲眠鹿://@老师们的好挂琴 ://@BianneH712 ://@胡辣汤波波冰 :草！//@西窗随记 :太悲痛了。这张训诫书就是耻辱柱，是疫情蔓延的源头，是所有诚实说真话人身上的红字。//@安石榴阿猫 :转发微博 查看图片 ",02月06日22:30,"
                        02月06日 22:59
                        ",0,0,0,0
巴姐的咸鱼粉,"
                    姐姐今晚虐哭我了//@Dear-迪丽热巴:守望相助，抗击疫情！希望能让更多需要帮助的朋友们看到 ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
你的小段上线啦,"
疫情结束后和陈四宇见面录一期vlog！（如果我能想起来的话） ",02月06日22:56,iPhone客户端,0,1,0,0
W白洛Q,"
                    保护好自己，注意安全//@白敬亭:守望相助，抗击疫情！#新型肺炎求助通道开启#，希望能够帮助到更多有需要的朋友 ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
不加糖LBJT,"
                    //@白敬亭:守望相助，抗击疫情！#新型肺炎求助通道开启#，希望能够帮助到更多有需要的朋友 ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
用户6607502947,"
                    转发微博                ",02月06日21:20,公开课 · 视频社区,0,392,17,401
你呀你真的你,"
#疫情给你带来哪些感悟# ​                ","
02月06日23:00
",华为手机,0,0,0,0
LINYEE_,"
                    //@易烊千玺JacksonYee工作室:#新型肺炎求助通道开启# 转给需要帮助的朋友，守望相助，抗击疫情//@TFBOYS-易烊千玺:希望更多的人能看到这个信息，可以帮助到有需要的朋友。                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
LINYEE_,"
                    //@易烊千玺JacksonYee工作室:#新型肺炎求助通道开启# 转给需要帮助的朋友，守望相助，抗击疫情//@TFBOYS-易烊千玺:希望更多的人能看到这个信息，可以帮助到有需要的朋友。                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
LINYEE_,"
                    //@易烊千玺JacksonYee工作室:#新型肺炎求助通道开启# 转给需要帮助的朋友，守望相助，抗击疫情//@TFBOYS-易烊千玺:希望更多的人能看到这个信息，可以帮助到有需要的朋友。                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
LINYEE_,"
                    //@易烊千玺JacksonYee工作室:#新型肺炎求助通道开启# 转给需要帮助的朋友，守望相助，抗击疫情//@TFBOYS-易烊千玺:希望更多的人能看到这个信息，可以帮助到有需要的朋友。                ",02月05日15:37,微博 weibo.com,0,14286848,25702,199323
nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
菜渣铃,"
                    等疫情过后，买个烤箱                ",02月04日20:16,烹饪教程 · 视频社区,0,3057,219,5353
隔壁鸭蛋a,"
                    //@巴斯小板:走起//@坐地废话八万句:我来了//@首席鉴瓜师:吃//@钮钴禄瑞秋 :来了//@精品展示区 : ！//@人间砝码 ://@锁金环 : 来//@高压电线咸鱼 ://@逐肉_ :买！//@雷霆小喵喵说不玩微博了 : 我扶贫村的血橙可以登上去宣传一下么疫情这个样子没好意思说                ",02月06日20:28,HUAWEI nova 3e,0,12445,1701,10510
懵懂的一颗心的距离,"
                    //@Dear-迪丽热巴:守望相助，抗击疫情！希望能让更多需要帮助的朋友们看到 ",02月05日15:37,微博 weibo.com,0,14286853,25702,199323
白开水不加糖也超甜哦,"
                    哥哥也要保护好自己哦！//@白敬亭:守望相助，抗击疫情！#新型肺炎求助通道开启#，希望能够帮助到更多有需要的朋友 ",02月05日15:37,微博 weibo.com,0,14286853,25702,199323
是九七97啊,"
                    转发微博                ",02月06日18:06,微博视频,0,55831,10937,265518
好大一个ybb,"
#疫情上报第一人记大功#对比太强烈了 ​                ","
02月06日22:59
",荣耀7 世界有点不同,0,0,0,0
水晶水晶Crystal,"
                    //@Yyy_makeup:草莓怎么就没了 查看图片 //@辣条娘:丑橘好便宜啊！//@这是一个很高冷的ID:我要买橙子//@巴斯小板:走起//@坐地废话八万句:我来了//@首席鉴瓜师:吃//@雷霆小喵喵说不玩微博了 : 我扶贫村的血橙可以登上去宣传一下么疫情这个样子没好意思说                ",02月06日20:28,HUAWEI nova 3e,0,12445,1701,10510
拾号少年L,"
//@拾号少年LAY:一起加油@努力努力再努力x //@努力努力再努力x:扩散 希望更多的人能够看到 守望相助 抗击疫情 ",02月05日15:37,微博 weibo.com,0,14286853,25702,199323
上杉犬次郎,"
                    R.I.P//@当时我就震惊了://@逛吃少年安东酱: //@整点电影: 天呐//@湾湾独立音乐速报:难以置信，这一切太不公了🕯️//@月光博客:最早揭发武汉肺炎疫情并被“传谣”的八医生之一的李文亮，因感染“新冠”，于21点30分病逝，这个世界实在太残酷了，愿天堂没有诬陷，没有压迫。                ",02月06日22:14,OnePlus 6,0,58715,31982,299473
今天也想睡觉哇,"
                    //@白敬亭:守望相助，抗击疫情！#新型肺炎求助通道开启#，希望能够帮助到更多有需要的朋友 ",02月05日15:37,微博 weibo.com,0,14286853,25702,199323
